ID,Price,Security_deposit,Cleaning_fee,Extra_people_price,accommodates,review_accuracy,review_cleanliness,review_checkin,review_communication,review_location,review_value,reviews_per_month,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,bed_type,amentities_2,allston.nhbr,back_bay.nhbr,beacon_hill.nhbr,brighton.nhbr,dorchester.nhbr,downtown.nhbr,east_boston.nhbr,fenway.nhbr,jamica_plain.nhbr,south_boston.nhbr,south_end.nhbr,nhbr.others,cancellation_strict,cancellation_moderate,cancellation_flexible,instant_bookable
4787233,$200.00 ,$600.00 ,$80.00 ,$40.00 ,4,10,9,10,10,10,10,0.41,42.34099239,-71.08019689,Apartment,Entire home/apt,1.5,2,2,Real Bed,"['TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Free Parking on Premises', 'Indoor Fireplace', 'Buzzer/Wireless Intercom', 'Heating', 'Family/Kid Friendly', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'First Aid Kit', 'Fire Extinguisher', 'Essentials', 'Shampoo']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4787359,$250.00 ,"$1,000.00 ",$150.00 ,$75.00 ,3,10,9,10,10,10,9,0.91,42.36054102,-71.06885722,Apartment,Entire home/apt,1,1,1,Real Bed,"['TV', 'Cable TV', 'Wireless Internet', 'Kitchen', 'Indoor Fireplace', 'Heating', 'Family/Kid Friendly', 'Smoke Detector', 'Essentials', 'Shampoo', '24-Hour Check-in', 'Hangers', 'Hair Dryer', 'Laptop Friendly Workspace']",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4793787,$45.00 ,$100.00 ,$40.00 ,$30.00 ,2,10,10,10,10,10,10,5.47,42.31751337,-71.05386354,Apartment,Private room,1,1,1,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Heating', 'Smoke Detector', 'Carbon Monoxide Detector', 'Fire Extinguisher', 'Essentials', 'Shampoo', '24-Hour Check-in', 'Hangers', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4860853,$225.00 ,$500.00 ,$75.00 ,$0.00 ,2,8,9,8,8,9,8,1.17,42.3411334,-71.08001119,Apartment,Entire home/apt,1,0,1,Real Bed,"['TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Heating', 'Family/Kid Friendly', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'Fire Extinguisher', 'Hair Dryer', 'Iron']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4861476,$260.00 ,$300.00 ,$50.00 ,$20.00 ,7,10,10,10,9,9,9,1.87,42.3543757,-71.12548069,House,Entire home/apt,1,2,3,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Wheelchair Accessible', 'Kitchen', 'Free Parking on Premises', 'Elevator in Building', 'Heating', 'Family/Kid Friendly', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'Fire Extinguisher', 'Essentials', 'Shampoo', '24-Hour Check-in', 'Hangers', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace']",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4868653,$95.00 ,$500.00 ,$30.00 ,$50.00 ,1,10,10,10,10,9,9,0.65,42.38071368,-71.03300608,House,Private room,1,1,1,Real Bed,"['Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Heating', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'Essentials', 'Shampoo']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4879579,$264.00 ,$250.00 ,$75.00 ,$10.00 ,9,10,10,10,10,10,10,3.91,42.31792286,-71.05496606,Apartment,Entire home/apt,1,3,5,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Free Parking on Premises', 'Heating', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'Essentials', 'Shampoo', '24-Hour Check-in', 'Hangers', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4879702,$99.00 ,$400.00 ,$75.00 ,$25.00 ,3,10,10,10,10,10,10,1.39,42.34191419,-71.0808063,Apartment,Entire home/apt,1,1,1,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Free Parking on Premises', 'Pets live on this property', 'Dog(s)', 'Elevator in Building', 'Buzzer/Wireless Intercom', 'Heating', 'Family/Kid Friendly', 'Smoke Detector', 'Carbon Monoxide Detector', 'Essentials', 'Shampoo', 'Hangers', 'Laptop Friendly Workspace']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4922204,$200.00 ,$250.00 ,$50.00 ,$25.00 ,16,10,10,10,10,10,9,4.32,42.28214228,-71.12904915,House,Entire home/apt,2.5,3,7,Real Bed,"['TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Free Parking on Premises', 'Indoor Fireplace', 'Heating', 'Smoke Detector', 'Carbon Monoxide Detector', 'First Aid Kit', 'Safety Card', 'Fire Extinguisher', 'Essentials', 'Shampoo', '24-Hour Check-in', 'Hangers', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4924009,$128.00 ,$100.00 ,$35.00 ,$15.00 ,3,8,8,8,8,10,8,2.66,42.35177642,-71.06368057,Apartment,Entire home/apt,1,1,1,Real Bed,"['TV', 'Cable TV', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Heating']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
