ID,Price,Security_deposit,Cleaning_fee,Extra_people_price,accommodates,review_accuracy,review_cleanliness,review_checkin,review_communication,review_location,review_value,reviews_per_month,latitude,longitude,allston.nhbr,back_bay.nhbr,beacon_hill.nhbr,brighton.nhbr,dorchester.nhbr,downtown.nhbr,east_boston.nhbr,fenway.nhbr,jamica_plain.nhbr,south_boston.nhbr,south_end.nhbr,nhbr.others,cancellation_strict,cancellation_moderate,cancellation_flexible,instant_bookable,Wireless.Internet,X24.Hour.Check.in,Lock.on.Bedroom.Door,Laundry,Kitchen,Pets,Air.Conditioning,TV,Heating,Iron,Shampoo,Hair.Dryer,Buzzer.Wireless.Intercom,Free.Parking,prop_condo,prop_apartment,prop.other,prop_house,room.private_shared,room.entire_apt,bath.other,bath.two,bath.one,bedroom.other,bedroom.two,bedroom.one,bed.other,bed.two,bed.one,bedtype.other,bedtype.real
1428355,80,100,40,20,2,10,10,10,10,10,10,1.66,42.33825951,-71.07091546,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0
1436513,75,100,50,25,4,10,10,10,10,10,10,1,42.28110619,-71.12102117,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1
1458081,210,300,125,25,8,9,9,10,10,9,10,4.71,42.37111661,-71.03339769,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1
1471308,70,150,25,0,2,9,8,9,9,9,8,1.93,42.33393473,-71.10313501,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
1471373,75,100,25,20,3,8,8,9,8,9,8,1.95,42.33368174,-71.10151732,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0
1472481,75,100,24,16,3,10,10,10,10,10,10,6.34,42.30977354,-71.04715292,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1
1472520,83,100,28,17,3,10,10,10,10,9,10,6.23,42.30810534,-71.04619636,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1
1489289,175,150,25,0,2,9,9,10,10,9,9,1.61,42.33663178,-71.07488543,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
1494726,75,200,50,25,1,9,10,10,10,10,10,0.37,42.27571563,-71.13013943,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1
1498719,250,300,75,0,2,9,10,10,10,10,9,0.31,42.35121527,-71.083148,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
